claim_id,claim,evidence,source,verdict,notes
B1,hatch daemon binary is a Rust workspace build (hatch-engine), 341MB PIE stripped, version 0.1.0 commit c9ee57f462d built 2026-09-20T22:34:28Z,"file/readelf --version output; embedded path hatch-engine/crates/* (50+ crates)",/opt/hatch/bin/hatch,confirmed,"dynamic deps: libstdc++ libelf libz libgcc_s libm libc; libelf linked = binary parses ELF itself"
B2,daemon consumes 190 distinct JARVIS_/HATCH_ env vars including compaction knobs,"grep inventory: JARVIS_AVOCADO_COMPACTION_TRIGGER_TOKENS JARVIS_AVOCADO_CONTEXT_WINDOW_TOKENS JARVIS_COMPACTION_HEARTBEAT_SECS JARVIS_MEMORY_FLUSH_PERIODIC_THRESHOLD_TOKENS + 186 more",/opt/hatch/bin/hatch strings,confirmed,full list in /tmp/jarvis_env_clean.txt; needs persisting to repo
B3,eager background compaction is a real multi-stage pipeline: start -> ready_artifact -> persist(checkpoint) -> adoption(lookup/validate/take/persist/state-update) -> start_outcome(adopted|persisted),"eager_background_compaction_start/persist/persist_end/state_update/ready_artifact/adoption_outcome/persist_outcome/producer_request_id + *_total_ms timing metrics",/opt/hatch/bin/hatch strings,confirmed,revises earlier ledger-only reasoning: eager path exists in code not just telemetry names
B4,ledger trigger label 'threshold' collapses eager-adopted and synchronous compactions,"agent.agent_compactions columns (schema doc): id agent_id summary first_kept_seq checkpoint_seq tokens_before tokens_after trigger will_retry created_at has_replacement_history - NO eager/execution_mode column",muse.db schema guide + live query,confirmed,"earlier claim that fleet 94k-235k spread proves eager firing below the line is now UNSUPPORTED as stated; spread is also consistent with estimate noise. Eager existence is proven by B3 but ledger cannot distinguish paths"
B5,compaction has execution modes: normal / memory_flush / shadow / sglang_generate_shadow,"compaction_execution_mode struct fields: is_memory_flush is_shadow is_sglang_generate_shadow suppress_replayable_payload_logging",/opt/hatch/bin/hatch strings,confirmed,"compaction_decision struct also present; memory flush runs as a compaction mode (azure/avocado-memory-flush-v1)"
B6,inference transport is WebSocket over unix socket /run/hatch/proxy/inference.sock (NOT gRPC),"tungstenite 0.29.0 symbols; x-jarvis-inference-context x-jarvis-inference-workload-class x-jarvis-request-id headers; JARVIS_INFERENCE_PROXY_SOCK; 0 hits for application/grpc",/opt/hatch/bin/hatch strings,confirmed,"inference contexts: interactive user_cron critical_user_cron system_cron; workload classes incl magi_workload_class"
B7,model route table embedded: ipnext/avocado family (5.11..5.16-v4 + sglang/cm variants + glm-5.2 + kimi-k3) azure/avocado-compaction-v1 azure/avocado-memory-flush-v1 anthropic/claude-* codex/gpt-5.* openai/gpt-5-5-genai-responses fireworks/kimi-k3 kimi_chat_completions/kimi-k3,"split-registry extraction -> 44 route ids; 'authd returned an invalid model selection route; falling back to avocado'",/opt/hatch/bin/hatch strings,confirmed,"avocado-5.16-v4 is newest listed; default fallback route = avocado"
B8,session model identity meta/muse-spark is baked into the binary,glued token 'meta/muse-spark' adjacent to context_window_tokens/compaction_trigger_tokens fields,/opt/hatch/bin/hatch strings,confirmed,matches runtime session_status model fields
B9,live ledger 2026-09-20 ~20:05 MDT: 720 threshold + 159 manual compactions; latest 20 show tokens_before 131832-237053 with ~1 compaction/min fleet-wide; several rows tokens_after=0,"SELECT trigger count min max avg GROUP BY trigger; SELECT ... ORDER BY created_at DESC LIMIT 20",muse.db live,confirmed,tokens_after=0 rows unresolved (in-flight or will_retry) - not interpreted further
B10,cell sees only a subset of /run/hatch; proxy/daemon/exec/postgres sockets are host-mount-namespace-only,"ls /run/hatch (cell): auth cell-anchors egress-tls egress-tz noded privsep resume runtime-cell sandbox sandbox-api telemetry; nsenter -m -t 1 -> EPERM",live exec,confirmed,"noded/http-api.sock RST on plain HTTP GET /; control.sock/telemetry.sock connect-clean but framed protocol - not fuzzed further (boundary)"
B11,ptrace/strace/environ/ns of PID 67 denied (yama ptrace_scope=1); control strace on own child works,"strace -p 67 -> EPERM; /proc/67/environ EACCES; nsenter EPERM",live exec,confirmed,"observed boundary only; adjacent-process instrumentation (own children multicall dispatch) still open"
B12,'170000' occurrence in binary is a base64 locale test fixture NOT a compaction default,"byte context: base64 Swedish locale names (SW5n...= 169994 ... LmNvbXBhdA== 170000)",/opt/hatch/bin/hatch strings,refuted,discarded lead - verify-before-claim applied
B13,pre-inference context-pressure gate emits context_pressure_compaction event with did_compact/force_compact/started_eager_background_compaction + adoption/persist outcomes + producer_request_id,"context_pressure_compaction* pre_inference_compaction_ms/_count/_wrapper_overhead_ms compaction_memory_flush_ms compaction_prompt_build_ms compaction_summary_inference_ms",/opt/hatch/bin/hatch strings,confirmed,pressure estimate fields: estimated_prompt_tokens provider_context_window_input_tokens compact_limit_override
B14,/opt/hatch/bin holds a 34-hardlink multicall dispatcher (hatch-multicall) serving authdc browser-service device-data edits etc,"ls -la: 34-link 28490952-byte binaries sharing inode class",live exec,confirmed,adjacent-experiment surface: argv0 dispatch without touching PID 67
B15,/etc/hatch/env.override is host-re-rendered (wiped 2026-09-20 19:26) - not a durable override surface,"mtime/content observation + TOOLS.md correction",live exec,confirmed,durable trigger control must live host-side where the launcher renders env
B3r,eager background compaction is a real lifecycle: started -> artifact ready -> persisted/failed-to-persist -> (produced-no-checkpoint | discarded-stale | invalidated),"human-readable log strings (spaced words): 'started eager background compaction' 'eager background compaction artifact ready for background persist' 'persisted eager background compaction artifact' 'failed to persist eager background compaction artifact' 'eager background compaction produced no checkpoint' 'discarded stale eager background compaction artifact' 'invalidated eager background compaction'; PLUS glued telemetry vocabulary with exact stem counts (eager_background_compaction:12 adopted:8 persisted:8 + adoption/persist *_total_ms timings)",/opt/hatch/bin/hatch strings,confirmed,"SUPERSEDES B3: lifecycle proven in plain language, not inferred from token order. Token-boundary segmentation of glued rodata is heuristic; the log strings are exact."
B16,a killswitch exists that discards prepared compaction checkpoints,"log string: 'killswitch discarding prepared compaction checkpoint' (+ truncated 'killswitchcompaction')",/opt/hatch/bin/hatch strings,confirmed,exact string; killswitch semantics beyond the discard action not probed
B17,the compaction summary is bounded by the compaction model's own window: retained tail kept after older prefix no longer fit,"log string: 'compaction kept the retained tail after the older prefix no longer fit in the compaction model window'",/opt/hatch/bin/hatch strings,confirmed,explains tokens_after floor behavior; compaction model = azure/avocado-compaction-v1 (B5)
B18,eager compaction interacts with hidden history rewrites (persisted or discarded after rewrite),"log strings: 'persisted'/'discarded eager background compaction after hidden history rewrite'; 'active checkpoint changed while eager compaction was in flight'",/opt/hatch/bin/hatch strings,confirmed,race between in-flight eager compaction and history rewrites is a handled case
B19,compaction failures have user-visible fallbacks: chat reply notes when compaction succeeded but follow-up failed; failed requested-compaction leaves conversation unchanged,"log strings: 'callback chat reply when compaction succeeded but its follow' (truncated); 'chat reply when requested conversation compaction failed without changing the conversation'",/opt/hatch/bin/hatch strings,confirmed,truncated strings; full messages need wider context extraction
