name,full_name,private,visibility,fork,stargazers,language,description,topics,private_score,public_score,recommendation,reasons,bun_version,has_ci
sovereign-scripts,toxicwind/sovereign-scripts,False,public,False,0,Python,"Reusable automation scripts for sovereign infrastructure. GitHub API wrappers, async batch processors, and env-aware deployment helpers.",,21.0,0.0,PRIVATE,contains 'infra' (weight 7); contains 'infrastructure' (weight 7); contains 'deploy' (weight 5); contains 'env' (weight 2),,False
infra-recon,toxicwind/infra-recon,False,public,False,0,,Infrastructure reconnaissance and digital forensics toolkit.,,14.0,4.0,PRIVATE,contains 'infra' (weight 7); contains 'infrastructure' (weight 7); contains 'tool' (weight 4),,False
wllama-forge,toxicwind/wllama-forge,False,public,False,0,TypeScript,"wllama + cutting-edge CPU fork tech (BeeLlama DFlash/KVarN, ik_llama row-interleaved packing) for on-device browser inference — private R&D",,10.0,0.0,PRIVATE,contains 'private' (weight 10),,False
youtube-403-bypass,toxicwind/youtube-403-bypass,False,public,False,0,Shell,Cross-platform yt-dlp wrapper that bypasses YouTube 403 errors via browser cookie extraction and PO token generation,,10.0,0.0,PRIVATE,contains 'token' (weight 10),,False
yt-dlp-universal-wrapper,toxicwind/yt-dlp-universal-wrapper,False,public,False,0,,Cross-platform yt-dlp wrapper that bypasses YouTube 403 errors via browser cookie extraction and PO token generation,,10.0,0.0,PRIVATE,contains 'token' (weight 10),,False
effusion-labs,toxicwind/effusion-labs,False,public,False,0,HTML,"Effusion Labs — Digital studio and knowledge base. Eleventy + Vite + Tailwind v4, bun-powered, modular config.","11ty, bun, digital-studio, eleventy, knowledge-base, static-site, tailwindcss, vite, web-development",6.0,3.0,CONSIDER_PRIVATE,contains 'config' (weight 6); contains 'config' (weight 3),,False
free-ai-models,toxicwind/free-ai-models,False,public,False,0,Python,Fork of ClawLabsAI/free-ai-models with grok-build config generator,,6.0,3.0,CONSIDER_PRIVATE,contains 'config' (weight 6); contains 'config' (weight 3),,False
ComfyUI-VideoHelperSuite,toxicwind/ComfyUI-VideoHelperSuite,False,public,True,0,,Nodes related to video workflows,,5.0,10.0,PUBLIC,contains 'workflow' (weight 5); fork (should be public),,False
bsz-cui-extras,toxicwind/bsz-cui-extras,False,public,True,0,Python,"Addons for ComfyUI: Principled nodes, colored latents,  demo workflows, etc",,5.0,17.0,PUBLIC,contains 'workflow' (weight 5); contains 'demo' (weight 7); fork (should be public),,False
comfyui-auto-nodes-layout,toxicwind/comfyui-auto-nodes-layout,False,public,True,0,,apply better nodes layout algorithm to ComfyUI workflow,,5.0,10.0,PUBLIC,contains 'workflow' (weight 5); fork (should be public),,False
comfyui-workspace-manager,toxicwind/comfyui-workspace-manager,False,public,True,0,TypeScript,"A ComfyUI workflows and models management extension to organize and manage all your workflows, models in one place. Seamlessly switch between workflows, as well as import, export workflows, reuse subworkflows, install models, browse your models in a single workspace",,5.0,15.0,PUBLIC,contains 'workflow' (weight 5); contains 'extension' (weight 5); fork (should be public),,False
ComfyUI-Saveaswebp,toxicwind/ComfyUI-Saveaswebp,False,public,True,0,,Save a picture as Webp file in Comfy + Workflow loading,,5.0,10.0,PUBLIC,contains 'workflow' (weight 5); fork (should be public),,False
comfyui-mixlab-nodes,toxicwind/comfyui-mixlab-nodes,False,public,True,0,,Workflow-to-APP、ScreenShare&FloatingVideo、GPT & 3D、SpeechRecognition&TTS,,5.0,10.0,PUBLIC,contains 'workflow' (weight 5); fork (should be public),,False
ophel,toxicwind/ophel,False,public,True,0,TypeScript,"Turn AI conversations into organized, reusable workflows — across major AI platforms. | 把 AI 对话转化为可组织、可复用的工作流，适用于主流 AI 平台",,5.0,10.0,PUBLIC,contains 'workflow' (weight 5); fork (should be public),,False
agentic-moment-2026,toxicwind/agentic-moment-2026,False,public,False,0,,"The Agentic Moment — an extended, source-verified field report on the intellectual environment around autonomous AI structures, July 2026",,4.0,0.0,CONSIDER_PRIVATE,contains 'env' (weight 2); contains 'environment' (weight 2),,False
ComfyUI,toxicwind/ComfyUI,False,public,True,0,Python,"The most powerful and modular stable diffusion GUI, api and backend with a graph/nodes interface.",,4.0,10.0,PUBLIC,contains 'backend' (weight 4); fork (should be public),,False
comfyui-tooling-nodes,toxicwind/comfyui-tooling-nodes,False,public,True,0,,Nodes for using ComfyUI as a backend for external tools. Send and receive images directly without filesystem upload/download.,,4.0,18.0,PUBLIC,contains 'backend' (weight 4); contains 'tool' (weight 4); contains 'tools' (weight 4); fork (should be public),,False
caddy,toxicwind/caddy,False,public,True,0,,Fast and extensible multi-platform HTTP/1-2-3 web server with automatic HTTPS,,4.0,10.0,PUBLIC,contains 'server' (weight 4); fork (should be public),,False
agentgateway,toxicwind/agentgateway,False,public,True,0,Rust,Next Generation Agentic Proxy for AI Agents and MCP servers,,4.0,13.0,PUBLIC,contains 'server' (weight 4); contains 'next' (weight 3); fork (should be public),,False
aquamarine,toxicwind/aquamarine,False,public,True,0,C++,Aquamarine is a very light linux rendering backend library,,4.0,17.0,PUBLIC,contains 'backend' (weight 4); contains 'library' (weight 7); fork (should be public),,False
byte-vision-mcp,toxicwind/byte-vision-mcp,False,public,True,0,,A Model Context Protocol (MCP) server written in GO that provides text completion capabilities using local LLama.cpp models. This server exposes a single MCP tool that accepts text prompts and returns AI-generated completions using locally hosted language models.,,4.0,14.0,PUBLIC,contains 'server' (weight 4); contains 'tool' (weight 4); fork (should be public),,False
supergateway,toxicwind/supergateway,False,public,True,0,TypeScript,Run MCP stdio servers over SSE and SSE over stdio. AI gateway.,,4.0,10.0,PUBLIC,contains 'server' (weight 4); fork (should be public),,False
pastemon,toxicwind/pastemon,False,public,True,0,Perl,pastebin.com Content Monitoring Tool,,4.0,14.0,PUBLIC,contains 'monitor' (weight 2); contains 'monitoring' (weight 2); contains 'tool' (weight 4); fork (should be public),,False
